product,site,signal,duration
CMC,Lamberts_Bay,2,3
CMC,Lamberts_Bay,1,3
CMC,Saldanha_Bay,1,3
CMC,Sea_Point,1,3
CMC,Saldanha_Bay,2,2
CMC,Sea_Point,4,3
CMC,Lamberts_Bay,3,3
CMC,Saldanha_Bay,2,3
CMC,Sea_Point,1,3
CMC,Saldanha_Bay,1,3
CMC,Sea_Point,1,3
CMC,Saldanha_Bay,2,3
CMC,Sea_Point,4,3
CMC,Lamberts_Bay,3,3
CMC,Saldanha_Bay,2,3
CMC,Sea_Point,1,3
CMC,Saldanha_Bay,1,3
CMC,Sea_Point,1,3
MUR,Lamberts_Bay,1,10
MUR,Lamberts_Bay,1,12
MUR,Lamberts_Bay,1,6
MUR,Lamberts_Bay,1,20
MUR,Lamberts_Bay,1,14
MUR,Port_Nolloth,1,8
MUR,Saldanha_Bay,1,6
MUR,Saldanha_Bay,2,22
MUR,Saldanha_Bay,1,14
MUR,Saldanha_Bay,1,8
MUR,Saldanha_Bay,2,12
MUR,Saldanha_Bay,1,6
MUR,Saldanha_Bay,1,16
MUR,Sea_Point,4,16
MUR,Sea_Point,1,24
MUR,Sea_Point,1,10
MUR,Lamberts_Bay,1,4
MUR,Port_Nolloth,1,4
MUR,Port_Nolloth,2,6
MUR,Port_Nolloth,1,8
MUR,Saldanha_Bay,1,14
MUR,Saldanha_Bay,1,12
MUR,Saldanha_Bay,1,16
MUR,Saldanha_Bay,1,26
MUR,Sea_Point,1,10
MUR,Sea_Point,1,8
MUR,Sea_Point,1,8
MUR,Saldanha_Bay,1,4
MUR,Saldanha_Bay,1,26
MUR,Sea_Point,2,12
MUR,Sea_Point,1,8
MUR,Port_Nolloth,1,4
MUR,Lamberts_Bay,1,12
MUR,Sea_Point,4,6
MUR,Sea_Point,2,4
MUR,Lamberts_Bay,1,12
MUR,Saldanha_Bay,1,4
MUR,Saldanha_Bay,2,6
MUR,Sea_Point,2,6
MUR,Lamberts_Bay,4,6
MUR,Lamberts_Bay,3,4
MUR,Lamberts_Bay,1,10
MUR,Port_Nolloth,1,4
MUR,Port_Nolloth,1,10
MUR,Saldanha_Bay,2,4
MUR,Saldanha_Bay,1,8
MUR,Saldanha_Bay,2,20
MUR,Saldanha_Bay,2,6
MUR,Saldanha_Bay,1,16
MUR,Sea_Point,2,6
MUR,Sea_Point,1,30
MUR,Sea_Point,1,22
MUR,Sea_Point,1,10
MUR,Sea_Point,1,4
MUR,Sea_Point,1,12
MUR,Lamberts_Bay,3,6
MUR,Lamberts_Bay,1,22
MUR,Lamberts_Bay,1,4
MUR,Lamberts_Bay,1,8
MUR,Lamberts_Bay,1,24
MUR,Port_Nolloth,1,4
MUR,Port_Nolloth,3,10
MUR,Saldanha_Bay,1,20
MUR,Saldanha_Bay,1,6
MUR,Saldanha_Bay,1,16
MUR,Saldanha_Bay,1,20
MUR,Saldanha_Bay,2,12
MUR,Saldanha_Bay,1,22
MUR,Saldanha_Bay,1,30
MUR,Lamberts_Bay,1,10
MUR,Saldanha_Bay,2,6
MUR,Saldanha_Bay,1,16
MUR,Saldanha_Bay,1,8
MUR,Sea_Point,2,8
MUR,Sea_Point,1,4
MUR,Lamberts_Bay,1,4
MUR,Saldanha_Bay,1,4
MUR,Sea_Point,1,8
MUR,Lamberts_Bay,2,4
MUR,Lamberts_Bay,2,10
MUR,Lamberts_Bay,1,6
MUR,Lamberts_Bay,1,5
MUR,Port_Nolloth,1,4
MUR,Port_Nolloth,1,12
MUR,Saldanha_Bay,1,6
MUR,Saldanha_Bay,1,10
OISST,Lamberts_Bay,1,5
OISST,Lamberts_Bay,1,7
OISST,Lamberts_Bay,1,16
OISST,Lamberts_Bay,1,10
OISST,Port_Nolloth,1,4
OISST,Saldanha_Bay,2,11
OISST,Saldanha_Bay,3,5
OISST,Saldanha_Bay,3,8
OISST,Saldanha_Bay,1,4
OISST,Sea_Point,2,12
OISST,Sea_Point,3,8
OISST,Sea_Point,1,11
OISST,Lamberts_Bay,1,4
OISST,Saldanha_Bay,3,8
OISST,Saldanha_Bay,2,6
OISST,Saldanha_Bay,1,4
OISST,Sea_Point,2,7
OISST,Sea_Point,1,11
OISST,Port_Nolloth,1,3
OISST,Sea_Point,1,7
OISST,Sea_Point,2,4
OISST,Sea_Point,1,3
OISST,Sea_Point,1,9
OISST,Sea_Point,,
OISST,Lamberts_Bay,1,4
OISST,Saldanha_Bay,1,3
OISST,Sea_Point,1,3
OISST,Sea_Point,2,3
OISST,Lamberts_Bay,1,8
OISST,Saldanha_Bay,1,4
OISST,Sea_Point,3,3
OISST,Lamberts_Bay,5,3
OISST,Lamberts_Bay,2,5
OISST,Port_Nolloth,2,5
OISST,Saldanha_Bay,3,10
OISST,Saldanha_Bay,1,4
OISST,Saldanha_Bay,1,11
OISST,Saldanha_Bay,2,3
OISST,Sea_Point,3,3
OISST,Sea_Point,1,4
OISST,Sea_Point,1,18
OISST,Sea_Point,1,12
OISST,Sea_Point,1,17
OISST,Sea_Point,1,5
OISST,Sea_Point,1,14
OISST,Lamberts_Bay,3,3
OISST,Lamberts_Bay,1,8
OISST,Lamberts_Bay,1,7
OISST,Lamberts_Bay,1,6
OISST,Lamberts_Bay,1,12
OISST,Port_Nolloth,4,3
OISST,Port_Nolloth,4,5
OISST,Saldanha_Bay,3,10
OISST,Sea_Point,1,18
OISST,Sea_Point,1,7
OISST,Sea_Point,1,17
OISST,Sea_Point,1,14
OISST,Lamberts_Bay,1,9
OISST,Saldanha_Bay,1,7
OISST,Saldanha_Bay,1,8
OISST,Saldanha_Bay,1,10
OISST,Sea_Point,1,7
OISST,Sea_Point,1,6
OISST,Lamberts_Bay,1,4
OISST,Saldanha_Bay,1,4
OISST,Sea_Point,2,4
OISST,Lamberts_Bay,1,4
OISST,Lamberts_Bay,1,3
OISST,Saldanha_Bay,1,4
OISST,Sea_Point,2,4
OISST,Sea_Point,1,3
OISST,Lamberts_Bay,3,3
OISST,Lamberts_Bay,1,5
OISST,Lamberts_Bay,1,4
OISST,Port_Nolloth,1,10
OISST,Port_Nolloth,2,8
OISST,Saldanha_Bay,2,5
OISST,Saldanha_Bay,1,10
OISST,Saldanha_Bay,1,4
OISST,Sea_Point,2,4
OISST,Sea_Point,3,3
G1SST,Lamberts_Bay,2,9
G1SST,Lamberts_Bay,1,21
G1SST,Lamberts_Bay,1,17
G1SST,Port_Nolloth,2,3
G1SST,Port_Nolloth,1,8
G1SST,Port_Nolloth,1,14
G1SST,Saldanha_Bay,2,4
G1SST,Saldanha_Bay,1,21
G1SST,Saldanha_Bay,1,13
G1SST,Saldanha_Bay,2,9
G1SST,Saldanha_Bay,2,6
G1SST,Saldanha_Bay,1,10
G1SST,Saldanha_Bay,2,15
G1SST,Saldanha_Bay,1,8
G1SST,Sea_Point,2,14
G1SST,Sea_Point,2,21
G1SST,Sea_Point,1,16
G1SST,Sea_Point,1,14
G1SST,Sea_Point,1,8
G1SST,Lamberts_Bay,2,4
G1SST,Lamberts_Bay,1,8
G1SST,Port_Nolloth,2,4
G1SST,Port_Nolloth,2,8
G1SST,Port_Nolloth,1,14
G1SST,Port_Nolloth,1,21
