site,product,intensity_mean
Lamberts Bay,CMC,-0.6432
Lamberts Bay,CMC,-1.5474
Lamberts Bay,CMC,-0.6928
Lamberts Bay,CMC,-0.5483
Lamberts Bay,CMC,-0.6276
Lamberts Bay,CMC,-0.7715
Lamberts Bay,CMC,-1.0278
Lamberts Bay,CMC,-0.6533
Lamberts Bay,CMC,-1.1916
Lamberts Bay,CMC,-1.3541
Lamberts Bay,CMC,-1.2325
Lamberts Bay,CMC,-1.4027
Lamberts Bay,CMC,-1.2735
Lamberts Bay,CMC,-0.9937
Lamberts Bay,CMC,-1.3973
Lamberts Bay,CMC,-0.8752
Lamberts Bay,CMC,-1.298
Lamberts Bay,CMC,-0.9667
Lamberts Bay,CMC,-0.4643
Lamberts Bay,CMC,-1.4175
Lamberts Bay,CMC,-0.4584
Lamberts Bay,CMC,-0.5101
Lamberts Bay,CMC,-0.4886
Lamberts Bay,CMC,-0.4317
Lamberts Bay,CMC,-0.6386
Lamberts Bay,CMC,-0.3988
Lamberts Bay,CMC,-1.2467
Lamberts Bay,CMC,-1.0771
Port Nolloth,CMC,-1.2067
Port Nolloth,CMC,-0.7613
Port Nolloth,CMC,-0.8006
Port Nolloth,CMC,-0.6885
Port Nolloth,CMC,-0.6163
Port Nolloth,CMC,-0.5778
Port Nolloth,CMC,-0.4488
Port Nolloth,CMC,-0.7791
Port Nolloth,CMC,-0.6934
Port Nolloth,CMC,-0.5764
Port Nolloth,CMC,-0.4506
Port Nolloth,CMC,-0.8067
Port Nolloth,CMC,-0.6421
Saldanha Bay,CMC,-0.9317
Saldanha Bay,CMC,-1.279
Saldanha Bay,CMC,-0.5806
Saldanha Bay,CMC,-2.4881
Saldanha Bay,CMC,-2.6323
Saldanha Bay,CMC,-1.4705
Saldanha Bay,CMC,-1.3658
Saldanha Bay,CMC,-0.8383
Saldanha Bay,CMC,-0.572
Saldanha Bay,CMC,-0.5591
Saldanha Bay,CMC,-0.8538
Saldanha Bay,CMC,-1.1736
Saldanha Bay,CMC,-1.9805
Saldanha Bay,CMC,-2.1369
Saldanha Bay,CMC,-0.6536
Saldanha Bay,CMC,-0.4629
Saldanha Bay,CMC,-0.6553
Saldanha Bay,CMC,-0.5242
Saldanha Bay,CMC,-0.4945
Saldanha Bay,CMC,-0.7602
Saldanha Bay,CMC,-0.6163
Sea Point,CMC,-2.4987
Sea Point,CMC,-1.932
Sea Point,CMC,-1.4432
Sea Point,CMC,-0.7595
Sea Point,CMC,-1.0971
Sea Point,CMC,-2.5769
Sea Point,CMC,-1.9707
Sea Point,CMC,-2.2294
Sea Point,CMC,-1.065
Sea Point,CMC,-0.4997
Sea Point,CMC,-0.7444
Sea Point,CMC,-0.5895
Sea Point,CMC,-1.798
Sea Point,CMC,-0.57
Sea Point,CMC,-0.531
Sea Point,CMC,-0.7234
Lamberts Bay,CMC,-1.6174
Lamberts Bay,CMC,-1.641
Lamberts Bay,CMC,-1.8047
Lamberts Bay,CMC,-2.0015
Lamberts Bay,CMC,-0.8325
Lamberts Bay,CMC,-1.0791
Lamberts Bay,CMC,-2.4235
Lamberts Bay,CMC,-2.5775
Lamberts Bay,CMC,-0.6618
Lamberts Bay,CMC,-0.5283
Lamberts Bay,CMC,-1.2858
Lamberts Bay,CMC,-2.6577
Lamberts Bay,CMC,-1.468
Lamberts Bay,CMC,-0.9771
Port Nolloth,CMC,-1.5318
Port Nolloth,CMC,-1.6622
Port Nolloth,CMC,-0.7091
Port Nolloth,CMC,-1.3161
Port Nolloth,CMC,-1.6578
Port Nolloth,CMC,-0.963
Port Nolloth,CMC,-1.1969
Port Nolloth,CMC,-1.0453
Saldanha Bay,CMC,-2.2789
Saldanha Bay,CMC,-2.0458
Saldanha Bay,CMC,-1.4501
Saldanha Bay,CMC,-1.3355
Saldanha Bay,CMC,-2.3451
Saldanha Bay,CMC,-1.3734
Saldanha Bay,CMC,-0.5489
Saldanha Bay,CMC,-0.4957
Saldanha Bay,CMC,-2.2856
Saldanha Bay,CMC,-1.2947
Saldanha Bay,CMC,-0.8349
Saldanha Bay,CMC,-0.6259
Saldanha Bay,CMC,-0.5533
Saldanha Bay,CMC,-0.6819
Saldanha Bay,CMC,-0.6682
Saldanha Bay,CMC,-1.2185
Sea Point,CMC,-1.7836
Sea Point,CMC,-2.8792
Sea Point,CMC,-1.8737
Sea Point,CMC,-1.4907
Sea Point,CMC,-1.6149
Sea Point,CMC,-1.3345
Sea Point,CMC,-1.6691
Sea Point,CMC,-1.9243
Sea Point,CMC,-2.4191
