,site,product,lon,lat,event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline
1,Lamberts Bay,SACTN,18.30262184,-32.09184626,1,83,83,85,3,1990-06-18,1990-06-18,1990-06-20,-1.1425,-1.4885,0.5777,-3.4274,-0.7125,-1.062,0.5776,-2.1375,11.8333,11.5,0.5774,35.5,-1.4864,-0.1126
2,Lamberts Bay,SACTN,18.30262184,-32.09184626,2,89,90,91,3,1990-06-24,1990-06-25,1990-06-26,-0.9068,-1.4066,0.8577,-2.7203,-0.5,-1,0.866,-1.5,12,11.5,0.866,36,-0.8232,0.158
3,Lamberts Bay,SACTN,18.30262184,-32.09184626,3,112,117,117,6,1990-07-17,1990-07-22,1990-07-22,-0.603,-1.1749,0.371,-3.6183,-0.385,-0.9625,0.3737,-2.3102,12.0833,11.5,0.3764,72.5,-0.0858,-0.5034
4,Lamberts Bay,SACTN,18.30262184,-32.09184626,4,158,159,161,4,1990-09-01,1990-09-02,1990-09-04,-1.2321,-1.6059,0.474,-4.9283,-0.8458,-1.2192,0.4748,-3.3833,11.875,11.5,0.4787,47.5,-0.0061,-0.4961
5,Lamberts Bay,SACTN,18.30262184,-32.09184626,5,271,275,276,6,1990-12-23,1990-12-27,1990-12-28,-1.3919,-2.2153,0.6785,-8.3516,-0.5095,-1.3361,0.681,-3.0572,12.3333,11.5,0.6831,74,-0.1608,-1.1897
6,Lamberts Bay,SACTN,18.30262184,-32.09184626,6,302,304,305,4,1991-01-23,1991-01-25,1991-01-26,-2.4972,-2.6271,0.2394,-9.9887,-1.4315,-1.5645,0.2343,-5.7258,11.125,11,0.25,44.5,-0.5116,-0.4879
7,Lamberts Bay,SACTN,18.30262184,-32.09184626,7,689,692,693,5,1992-02-14,1992-02-17,1992-02-18,-2.6878,-2.997,0.4478,-13.4392,-1.6935,-2,0.4509,-8.4677,11.3,11,0.4472,56.5,-0.2946,-0.9981
8,Lamberts Bay,SACTN,18.30262184,-32.09184626,8,705,706,714,10,1992-03-01,1992-03-02,1992-03-10,-1.5182,-3.3291,0.9764,-15.1818,-0.4917,-2.2742,0.9619,-4.9165,12.25,10.5,0.9501,122.5,-2.4774,-0.3122
9,Lamberts Bay,SACTN,18.30262184,-32.09184626,9,1746,1749,1753,8,1995-01-06,1995-01-09,1995-01-13,-2.3334,-4.0232,0.9646,-18.6673,-1.2222,-2.9094,0.9687,-9.7778,11.1875,9.5,0.9613,89.5,-1.0616,-0.7265
10,Lamberts Bay,SACTN,18.30262184,-32.09184626,10,1787,1788,1790,4,1995-02-16,1995-02-17,1995-02-19,-2.4967,-2.997,0.7043,-9.9869,-1.4879,-2,0.7223,-5.9516,11.5,11,0.7071,46,-0.3409,-0.7995
11,Lamberts Bay,SACTN,18.30262184,-32.09184626,11,1794,1798,1799,6,1995-02-23,1995-02-27,1995-02-28,-3.0153,-3.9121,0.7252,-18.0916,-1.9462,-2.8387,0.7244,-11.6774,10.9167,10,0.736,65.5,-0.0423,-2.026
12,Lamberts Bay,SACTN,18.30262184,-32.09184626,12,1812,1819,1823,12,1995-03-13,1995-03-20,1995-03-24,-1.6169,-2.5569,0.6437,-19.4029,-0.7753,-1.7619,0.6627,-9.3038,11.9583,11,0.6557,143.5,-0.3885,-0.4504
13,Lamberts Bay,SACTN,18.30262184,-32.09184626,13,1855,1855,1857,3,1995-04-25,1995-04-25,1995-04-27,-1.2107,-1.2135,0.0025,-3.632,-0.7398,-0.7398,0,-2.2194,12,12,0,36,0.5057,0.0982
14,Lamberts Bay,SACTN,18.30262184,-32.09184626,14,1882,1884,1885,4,1995-05-22,1995-05-24,1995-05-25,-0.9218,-1.2956,0.2493,-3.687,-0.5877,-0.9572,0.2467,-2.3509,12.375,12,0.25,49.5,-0.4973,-0.5065
15,Lamberts Bay,SACTN,18.30262184,-32.09184626,15,1896,1899,1907,12,1995-06-05,1995-06-08,1995-06-16,-0.7451,-1.1046,0.255,-8.9409,-0.3496,-0.7233,0.2615,-4.1952,12.3333,12,0.2462,148,-0.2027,-0.0995
16,Lamberts Bay,SACTN,18.30262184,-32.09184626,16,1979,1981,1981,3,1995-08-27,1995-08-29,1995-08-29,-0.7248,-1.0708,0.2997,-2.1743,-0.3443,-0.6894,0.2989,-1.0329,12.3333,12,0.2887,37,-0.3128,-0.4881
17,Lamberts Bay,SACTN,18.30262184,-32.09184626,17,2001,2002,2003,3,1995-09-18,1995-09-19,1995-09-20,-2.0303,-2.5309,0.4905,-6.091,-1.6141,-2.1141,0.4847,-4.8422,11,10.5,0.5,33,-0.814,-0.3548
18,Lamberts Bay,SACTN,18.30262184,-32.09184626,18,2022,2024,2024,3,1995-10-09,1995-10-11,1995-10-11,-1.3989,-1.7331,0.5776,-4.1967,-0.8184,-1.1515,0.5635,-2.4551,11.3333,11,0.5774,34,-0.5468,-1.4996
19,Lamberts Bay,SACTN,18.30262184,-32.09184626,19,2057,2058,2061,5,1995-11-13,1995-11-14,1995-11-17,-2.1386,-2.5464,0.6536,-10.693,-1.333,-1.7395,0.6532,-6.6652,10.9,10.5,0.6519,54.5,-1.0139,-0.367
20,Lamberts Bay,SACTN,18.30262184,-32.09184626,20,2071,2075,2075,5,1995-11-27,1995-12-01,1995-12-01,-2.5493,-3.3112,0.6694,-12.7463,-1.6903,-2.4754,0.6705,-8.4516,10.7,10,0.6708,53.5,-0.3825,-3.3112
21,Lamberts Bay,SACTN,18.30262184,-32.09184626,21,2178,2180,2181,4,1996-03-13,1996-03-15,1996-03-16,-2.1159,-2.6088,0.4032,-8.4638,-1.2135,-1.7135,0.4082,-4.854,11.5,11,0.4082,46,-0.5862,-1.0405
