"","site","product","lon","lat","event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline"
"1","Lamberts Bay","CMC",18.2000007629395,-32,117,7332,7333,7334,3,2011-09-27,2011-09-28,2011-09-29,-0.6432,-0.7025,0.0809,-1.9295,-0.1391,-0.1984,0.0896,-0.4173,13.29,13.23,0.0872,39.87,-0.243,-0.2847
"2","Lamberts Bay","CMC",18.2000007629395,-32,118,7395,7395,7397,3,2011-11-29,2011-11-29,2011-12-01,-1.5474,-1.9187,0.3417,-4.6421,-0.668,-1.0381,0.3404,-2.0041,13.58,13.19,0.3601,40.74,-1.9187,-0.5183
"3","Lamberts Bay","CMC",18.2000007629395,-32,119,7591,7591,7593,3,2012-06-12,2012-06-12,2012-06-14,-0.6928,-0.816,0.1745,-2.0783,-0.2433,-0.3663,0.174,-0.73,12.6567,12.56,0.1504,37.97,-0.816,-0.2278
"4","Lamberts Bay","CMC",18.2000007629395,-32,120,7598,7599,7600,3,2012-06-19,2012-06-20,2012-06-21,-0.5483,-0.6112,0.0565,-1.645,-0.1264,-0.1889,0.0552,-0.3792,12.6333,12.57,0.0551,37.9,-0.2302,-0.2402
"5","Lamberts Bay","CMC",18.2000007629395,-32,121,7640,7642,7642,3,2012-07-31,2012-08-02,2012-08-02,-0.6276,-0.7564,0.154,-1.8829,-0.2104,-0.3376,0.1534,-0.6311,12.28,12.16,0.1513,36.84,-0.1687,-0.7564
"6","Lamberts Bay","CMC",18.2000007629395,-32,122,7654,7656,7656,3,2012-08-14,2012-08-16,2012-08-16,-0.7715,-0.9229,0.1466,-2.3145,-0.3254,-0.4808,0.1504,-0.9762,12.36,12.23,0.1253,37.08,-0.2431,-0.9229
"7","Lamberts Bay","CMC",17.6000003814697,-32.2000007629395,130,7269,7270,7271,3,2011-07-26,2011-07-27,2011-07-28,-1.0278,-1.1676,0.233,-3.0835,-0.499,-0.6384,0.2284,-1.4971,13.1,12.96,0.2254,39.3,-0.5255,-0.3927
"8","Lamberts Bay","CMC",17.6000003814697,-32.2000007629395,131,7283,7283,7285,3,2011-08-09,2011-08-09,2011-08-11,-0.6533,-0.7254,0.0625,-1.96,-0.1,-0.1713,0.0619,-0.3001,13.67,13.58,0.0781,41.01,-0.7254,-0.1659
"9","Lamberts Bay","CMC",17.6000003814697,-32.2000007629395,132,7297,7298,7299,3,2011-08-23,2011-08-24,2011-08-25,-1.1916,-1.4518,0.3371,-3.5749,-0.7028,-0.9629,0.3307,-2.1085,13.4,13.14,0.3516,40.2,-0.5304,-0.6976
"10","Lamberts Bay","CMC",17.6000003814697,-32.2000007629395,133,7304,7304,7306,3,2011-08-30,2011-08-30,2011-09-01,-1.3541,-1.6528,0.3166,-4.0624,-0.9281,-1.2192,0.3094,-2.7842,13.3533,13.04,0.3313,40.06,-1.6528,-0.4567
