"","site","product","lon","lat","event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline"
"1","Lamberts Bay","SACTN",18.30262184,-32.09184626,110,7791,7793,7794,4,2011-07-26,2011-07-28,2011-07-29,-1.0491,-1.175,0.2477,-4.1964,-0.824,-0.9531,0.2527,-3.2962,11.625,11.5,0.25,46.5,-0.2019,-0.5575
"2","Lamberts Bay","SACTN",18.30262184,-32.09184626,111,7818,7821,7821,4,2011-08-22,2011-08-25,2011-08-25,-0.4929,-0.5188,0.0235,-1.9717,-0.1421,-0.1605,0.0176,-0.5684,12.5,12.5,0,50,-0.0819,-0.4863
"3","Lamberts Bay","SACTN",18.30262184,-32.09184626,112,7847,7855,7855,9,2011-09-20,2011-09-28,2011-09-28,-0.9958,-2.3327,0.7869,-8.9619,-0.5459,-1.8772,0.7855,-4.9129,11.9237,10.5,0.8171,107.3132,-0.2721,-2.3327
"4","Lamberts Bay","SACTN",18.30262184,-32.09184626,113,7915,7918,7918,4,2011-11-27,2011-11-30,2011-11-30,-1.7338,-1.7853,0.0455,-6.9351,-0.869,-0.9432,0.0636,-3.4762,11.5,11.5,0,46,-0.2701,-1.4741
"5","Lamberts Bay","SACTN",18.30262184,-32.09184626,114,8057,8064,8065,9,2012-04-17,2012-04-24,2012-04-25,-1.0654,-1.7192,0.503,-9.5889,-0.5773,-1.2415,0.5014,-5.1958,12.1932,11.5,0.4936,109.7391,-0.1172,-0.505
"6","Lamberts Bay","SACTN",18.30262184,-32.09184626,115,8100,8100,8104,5,2012-05-30,2012-05-30,2012-06-03,-0.7269,-1.2273,0.6636,-3.6343,-0.367,-0.8684,0.6646,-1.8351,12.4691,12,0.6424,62.3457,-0.984,-0.1448
"7","Lamberts Bay","SACTN",18.30262184,-32.09184626,116,8111,8115,8122,12,2012-06-10,2012-06-14,2012-06-21,-1.0532,-2.5417,0.7681,-12.6385,-0.6355,-2.1265,0.7684,-7.6257,11.9668,10.5,0.7656,143.6018,-0.5648,-0.2463
"8","Lamberts Bay","SACTN",18.30262184,-32.09184626,117,8161,8163,8163,3,2012-07-30,2012-08-01,2012-08-01,-0.8517,-1.1902,0.2932,-2.5551,-0.609,-0.9423,0.2887,-1.8269,11.8333,11.5,0.2887,35.5,-0.34,-0.9935
"9","Lamberts Bay","SACTN",18.30262184,-32.09184626,118,8176,8177,8181,6,2012-08-14,2012-08-15,2012-08-19,-0.3975,-0.8373,0.372,-2.3851,-0.0535,-0.4935,0.372,-0.3208,12.4663,12,0.4028,74.7975,-0.2843,-0.1387
"10","Lamberts Bay","SACTN",18.30262184,-32.09184626,119,8186,8191,8191,6,2012-08-24,2012-08-29,2012-08-29,-0.7827,-1.0708,0.4318,-4.6964,-0.4124,-0.6894,0.4329,-2.4742,12.2554,12,0.43,73.5325,-0.0594,-0.9881
"11","Port Nolloth","SACTN",16.86710358,-29.25240668,106,8510,8511,8514,5,2012-04-19,2012-04-20,2012-04-23,-1.1921,-1.4086,0.2671,-5.9607,-0.481,-0.6952,0.2677,-2.4048,11.7,11.5,0.2739,58.5,-0.1477,-0.2305
"12","Port Nolloth","SACTN",16.86710358,-29.25240668,107,8536,8541,8543,8,2012-05-15,2012-05-20,2012-05-22,-1.4269,-2.6691,0.8779,-11.4153,-0.7496,-2,0.8861,-5.9968,11.25,10,0.8864,90,-0.3132,-0.5067
"13","Port Nolloth","SACTN",16.86710358,-29.25240668,108,8549,8559,8559,11,2012-05-28,2012-06-07,2012-06-07,-1.1647,-2.0338,0.3677,-12.8113,-0.5182,-1.3645,0.3633,-5.7,11.4091,10.5,0.3754,125.5,-0.1352,-0.5091
"14","Port Nolloth","SACTN",16.86710358,-29.25240668,109,8595,8595,8599,5,2012-07-13,2012-07-13,2012-07-17,-1.4488,-1.6644,0.281,-7.2439,-0.8,-1,0.2739,-4,10.7,10.5,0.2739,53.5,-0.9906,-0.2299
"15","Port Nolloth","SACTN",16.86710358,-29.25240668,110,8613,8614,8615,3,2012-07-31,2012-08-01,2012-08-02,-1.3363,-2.0024,0.5769,-4.009,-0.8075,-1.4742,0.5774,-2.4226,10.6667,10,0.5774,32,-0.6586,-0.8389
"16","Port Nolloth","SACTN",16.86710358,-29.25240668,111,8652,8654,8654,3,2012-09-08,2012-09-10,2012-09-10,-1.0181,-1.022,0.004,-3.0543,-0.3919,-0.3919,0,-1.1757,11,11,0,33,-0.204,-0.9971
